isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,1.95954869e-08,1.00000000e-09,9.99314523e-10,1.00000000e-09,9.64139005e-16,1.00000000e-09,-3.41137502e-16,1.00000000e-09,7.09306600e-19,1.00000000e-09,1.62375729e-16,1.00000000e-09,2.43309084e-16,1.00000000e-09,-2.97129009e-19,1.00000000e-09,1.37197995e-10,1.00000000e-09,9.67235399e-01,1.00000000e-09,3.55955689e-02,1.00000000e-09,6.85857301e-01,1.00000000e-09,6.85857301e-01,1.00000000e-09,7.28873628e+09,1.00000000e-09,2.03243379e+07,1.00000000e-09,3.23471884e+06,1.00000000e-09,1.96089284e+01,0.840,0.500,sky130
1.25000000e-09,2.41753643e-08,1.25000000e-09,1.24966791e-09,1.25000000e-09,9.86167883e-16,1.25000000e-09,-3.73459662e-16,1.25000000e-09,7.79809531e-19,1.25000000e-09,1.77246718e-16,1.25000000e-09,2.65598784e-16,1.25000000e-09,-3.27421077e-19,1.25000000e-09,1.69584664e-10,1.25000000e-09,9.67202531e-01,1.25000000e-09,3.56634859e-02,1.25000000e-09,6.97258171e-01,1.25000000e-09,6.97258170e-01,1.25000000e-09,5.89675963e+09,1.25000000e-09,2.45144510e+07,1.25000000e-09,3.90159606e+06,1.25000000e-09,1.93454310e+01,0.840,0.500,sky130
1.50000000e-09,2.87540303e-08,1.50000000e-09,1.50035308e-09,1.50000000e-09,1.00596181e-15,1.50000000e-09,-4.02063290e-16,1.50000000e-09,8.42304301e-19,1.50000000e-09,1.90362713e-16,1.50000000e-09,2.85258263e-16,1.50000000e-09,-3.54207667e-19,1.50000000e-09,2.01807980e-10,1.50000000e-09,9.67175345e-01,1.50000000e-09,3.57311854e-02,1.50000000e-09,7.06688064e-01,1.50000000e-09,7.06688063e-01,1.50000000e-09,4.95520544e+09,1.50000000e-09,2.85836201e+07,1.50000000e-09,4.54922443e+06,1.50000000e-09,1.91648424e+01,0.840,0.500,sky130
1.75000000e-09,3.33111996e-08,1.75000000e-09,1.74992705e-09,1.75000000e-09,1.02390162e-15,1.75000000e-09,-4.27692801e-16,1.75000000e-09,8.98375155e-19,1.75000000e-09,2.02081847e-16,1.75000000e-09,3.02824207e-16,1.75000000e-09,-3.78189849e-19,1.75000000e-09,2.33731595e-10,1.75000000e-09,9.67152279e-01,1.75000000e-09,3.57982922e-02,1.75000000e-09,7.14688744e-01,1.75000000e-09,7.14688744e-01,1.75000000e-09,4.27841173e+09,1.75000000e-09,3.25335939e+07,1.75000000e-09,5.17788228e+06,1.75000000e-09,1.90357647e+01,0.840,0.500,sky130
2.00000000e-09,3.78731807e-08,2.00000000e-09,1.99965042e-09,2.00000000e-09,1.04041956e-15,2.00000000e-09,-4.51080108e-16,2.00000000e-09,9.49596625e-19,2.00000000e-09,2.12749790e-16,2.00000000e-09,3.18814669e-16,2.00000000e-09,-4.00056283e-19,2.00000000e-09,2.65548656e-10,2.00000000e-09,9.67132165e-01,2.00000000e-09,3.58651572e-02,2.00000000e-09,7.21665728e-01,2.00000000e-09,7.21665728e-01,2.00000000e-09,3.76578822e+09,2.00000000e-09,3.64018345e+07,2.00000000e-09,5.79353191e+06,2.00000000e-09,1.89399009e+01,0.840,0.500,sky130
2.25000000e-09,4.24418505e-08,2.25000000e-09,2.24952084e-09,2.25000000e-09,1.05575254e-15,2.25000000e-09,-4.72631754e-16,2.25000000e-09,9.96841548e-19,2.25000000e-09,2.22559423e-16,2.25000000e-09,3.33518719e-16,2.25000000e-09,-4.20190297e-19,2.25000000e-09,2.97280075e-10,2.25000000e-09,9.67114332e-01,2.25000000e-09,3.59317875e-02,2.25000000e-09,7.27851421e-01,2.25000000e-09,7.27851420e-01,2.25000000e-09,3.36383123e+09,2.25000000e-09,4.02005667e+07,2.25000000e-09,6.39811890e+06,2.25000000e-09,1.88670626e+01,0.840,0.500,sky130
2.50000000e-09,4.70166137e-08,2.50000000e-09,2.49944145e-09,2.50000000e-09,1.07007355e-15,2.50000000e-09,-4.92638865e-16,2.50000000e-09,1.04073569e-18,2.50000000e-09,2.31648681e-16,2.50000000e-09,3.47143072e-16,2.50000000e-09,-4.38866664e-19,2.50000000e-09,3.28929049e-10,2.50000000e-09,9.67098321e-01,2.50000000e-09,3.59981640e-02,2.50000000e-09,7.33404893e-01,2.50000000e-09,7.33404892e-01,2.50000000e-09,3.04016931e+09,2.50000000e-09,4.39377405e+07,2.50000000e-09,6.99290858e+06,2.50000000e-09,1.88108482e+01,0.840,0.500,sky130
2.75000000e-09,5.15978062e-08,2.75000000e-09,2.74939028e-09,2.75000000e-09,1.08352062e-15,2.75000000e-09,-5.11328160e-16,2.75000000e-09,1.08176734e-18,2.75000000e-09,2.40124651e-16,2.75000000e-09,3.59848225e-16,2.75000000e-09,-4.56299447e-19,2.75000000e-09,3.60504582e-10,2.75000000e-09,9.67083798e-01,2.75000000e-09,3.60642865e-02,2.75000000e-09,7.38442590e-01,2.75000000e-09,7.38442589e-01,2.75000000e-09,2.77388985e+09,2.75000000e-09,4.76205116e+07,2.75000000e-09,7.57903982e+06,2.75000000e-09,1.87669996e+01,0.840,0.500,sky130
3.00000000e-09,5.61856517e-08,3.00000000e-09,2.99935394e-09,3.00000000e-09,1.09620378e-15,3.00000000e-09,-5.28877233e-16,3.00000000e-09,1.12031950e-18,3.00000000e-09,2.48071040e-16,3.00000000e-09,3.71759630e-16,3.00000000e-09,-4.72656389e-19,3.00000000e-09,3.92014191e-10,3.00000000e-09,9.67070511e-01,3.00000000e-09,3.61301570e-02,3.00000000e-09,7.43051518e-01,3.00000000e-09,7.43051517e-01,3.00000000e-09,2.55092806e+09,3.00000000e-09,5.12547510e+07,3.00000000e-09,8.15744697e+06,3.00000000e-09,1.87325847e+01,0.840,0.500,sky130
3.25000000e-09,6.07803537e-08,3.25000000e-09,3.24932737e-09,3.25000000e-09,1.10821250e-15,3.25000000e-09,-5.45428388e-16,3.25000000e-09,1.15669948e-18,3.25000000e-09,2.55554787e-16,3.25000000e-09,3.82977611e-16,3.25000000e-09,-4.88071935e-19,3.25000000e-09,4.23464606e-10,3.25000000e-09,9.67058267e-01,3.25000000e-09,3.61957787e-02,3.25000000e-09,7.47298442e-01,3.25000000e-09,7.47298441e-01,3.25000000e-09,2.36147245e+09,3.25000000e-09,5.48453964e+07,3.25000000e-09,8.72891594e+06,3.25000000e-09,1.87055187e+01,0.840,0.500,sky130
3.50000000e-09,6.53820569e-08,3.50000000e-09,3.49930851e-09,3.50000000e-09,1.11962055e-15,3.50000000e-09,-5.61097511e-16,3.50000000e-09,1.19115780e-18,3.50000000e-09,2.62630306e-16,3.50000000e-09,3.93583720e-16,3.50000000e-09,-5.02655595e-19,3.50000000e-09,4.54861579e-10,3.50000000e-09,9.67046916e-01,3.50000000e-09,3.62611557e-02,3.50000000e-09,7.51235672e-01,3.50000000e-09,7.51235671e-01,3.50000000e-09,2.19847102e+09,3.50000000e-09,5.83966211e+07,3.50000000e-09,9.29411091e+06,3.50000000e-09,1.86842791e+01,0.840,0.500,sky130
3.75000000e-09,6.99907700e-08,3.75000000e-09,3.74929219e-09,3.75000000e-09,1.13048938e-15,3.75000000e-09,-5.75980125e-16,3.75000000e-09,1.22390117e-18,3.75000000e-09,2.69342379e-16,3.75000000e-09,4.03645076e-16,3.75000000e-09,-5.16497650e-19,3.75000000e-09,4.86209444e-10,3.75000000e-09,9.67036338e-01,3.75000000e-09,3.63262905e-02,3.75000000e-09,7.54904886e-01,3.75000000e-09,7.54904885e-01,3.75000000e-09,2.05672681e+09,3.75000000e-09,6.19119218e+07,3.75000000e-09,9.85358839e+06,3.75000000e-09,1.86677288e+01,0.840,0.500,sky130
4.00000000e-09,7.46065678e-08,4.00000000e-09,3.99927978e-09,4.00000000e-09,1.14087117e-15,4.00000000e-09,-5.90156546e-16,4.00000000e-09,1.25510357e-18,4.00000000e-09,2.75728595e-16,4.00000000e-09,4.13218017e-16,4.00000000e-09,-5.29674010e-19,4.00000000e-09,5.17512564e-10,4.00000000e-09,9.67026435e-01,4.00000000e-09,3.63911874e-02,4.00000000e-09,7.58339951e-01,4.00000000e-09,7.58339949e-01,4.00000000e-09,1.93232023e+09,4.00000000e-09,6.53943843e+07,4.00000000e-09,1.04078395e+07,4.00000000e-09,1.86550009e+01,0.840,0.500,sky130
4.25000000e-09,7.92294454e-08,4.25000000e-09,4.24927040e-09,4.25000000e-09,1.15081039e-15,4.25000000e-09,-6.03694650e-16,4.25000000e-09,1.28491216e-18,4.25000000e-09,2.81820678e-16,4.25000000e-09,4.22350090e-16,4.25000000e-09,-5.42248834e-19,4.25000000e-09,5.48774396e-10,4.25000000e-09,9.67017127e-01,4.25000000e-09,3.64558497e-02,4.25000000e-09,7.61568667e-01,4.25000000e-09,7.61568665e-01,4.25000000e-09,1.82224245e+09,4.25000000e-09,6.88466543e+07,4.25000000e-09,1.09572854e+07,4.25000000e-09,1.86454233e+01,0.840,0.500,sky130
4.50000000e-09,8.38593499e-08,4.50000000e-09,4.49926211e-09,4.50000000e-09,1.16034532e-15,4.50000000e-09,-6.16652437e-16,4.50000000e-09,1.31345277e-18,4.50000000e-09,2.87645700e-16,4.50000000e-09,4.31081871e-16,4.50000000e-09,-5.54276948e-19,4.50000000e-09,5.79997763e-10,4.50000000e-09,9.67008347e-01,4.50000000e-09,3.65202802e-02,4.50000000e-09,7.64614146e-01,4.50000000e-09,7.64614145e-01,4.50000000e-09,1.72414458e+09,4.50000000e-09,7.22710286e+07,4.50000000e-09,1.15022915e+07,4.50000000e-09,1.86384673e+01,0.840,0.500,sky130
4.75000000e-09,8.84962417e-08,4.75000000e-09,4.74925480e-09,4.75000000e-09,1.16950927e-15,4.75000000e-09,-6.29080047e-16,4.75000000e-09,1.34083428e-18,4.75000000e-09,2.93227034e-16,4.75000000e-09,4.39448389e-16,4.75000000e-09,-5.65805741e-19,4.75000000e-09,6.11185308e-10,4.75000000e-09,9.67000039e-01,4.75000000e-09,3.65844822e-02,4.75000000e-09,7.67495844e-01,4.75000000e-09,7.67495842e-01,4.75000000e-09,1.63616498e+09,4.75000000e-09,7.56695511e+07,4.75000000e-09,1.20431831e+07,4.75000000e-09,1.86337111e+01,0.840,0.500,sky130
5.00000000e-09,9.31400739e-08,5.00000000e-09,4.99924876e-09,5.00000000e-09,1.17833143e-15,5.00000000e-09,-6.41021111e-16,5.00000000e-09,1.36715148e-18,5.00000000e-09,2.98584989e-16,5.00000000e-09,4.47480087e-16,5.00000000e-09,-5.76876451e-19,5.00000000e-09,6.42339392e-10,5.00000000e-09,9.66992156e-01,5.00000000e-09,3.66484588e-02,5.00000000e-09,7.70230277e-01,5.00000000e-09,7.70230275e-01,5.00000000e-09,1.55680940e+09,5.00000000e-09,7.90440380e+07,5.00000000e-09,1.25802494e+07,5.00000000e-09,1.86308140e+01,0.840,0.500,sky130
5.25000000e-09,9.77907702e-08,5.25000000e-09,5.24924329e-09,5.25000000e-09,1.18683745e-15,5.25000000e-09,-6.52513803e-16,5.25000000e-09,1.39248738e-18,5.25000000e-09,3.03737319e-16,5.25000000e-09,4.55203572e-16,5.25000000e-09,-5.87525155e-19,5.25000000e-09,6.73461973e-10,5.25000000e-09,9.66984656e-01,5.25000000e-09,3.67122127e-02,5.25000000e-09,7.72831575e-01,5.25000000e-09,7.72831573e-01,5.25000000e-09,1.48486483e+09,5.25000000e-09,8.23960944e+07,5.25000000e-09,1.31137457e+07,5.25000000e-09,1.86294985e+01,0.840,0.500,sky130
5.50000000e-09,1.02448268e-07,5.50000000e-09,5.49923886e-09,5.50000000e-09,1.19505012e-15,5.50000000e-09,-6.63591826e-16,5.50000000e-09,1.41691531e-18,5.50000000e-09,3.08699678e-16,5.50000000e-09,4.62642308e-16,5.50000000e-09,-5.97783702e-19,5.50000000e-09,7.04554920e-10,5.50000000e-09,9.66977506e-01,5.50000000e-09,3.67757469e-02,5.50000000e-09,7.75311941e-01,5.50000000e-09,7.75311939e-01,5.50000000e-09,1.41933577e+09,5.50000000e-09,8.57271724e+07,5.50000000e-09,1.36439032e+07,5.50000000e-09,1.86295358e+01,0.840,0.500,sky130
5.75000000e-09,1.07112471e-07,5.75000000e-09,5.74923456e-09,5.75000000e-09,1.20298970e-15,5.75000000e-09,-6.74285009e-16,5.75000000e-09,1.44050019e-18,5.75000000e-09,3.13485907e-16,5.75000000e-09,4.69817040e-16,5.75000000e-09,-6.07680275e-19,5.75000000e-09,7.35619731e-10,5.75000000e-09,9.66970673e-01,5.75000000e-09,3.68390639e-02,5.75000000e-09,7.77681962e-01,5.75000000e-09,7.77681960e-01,5.75000000e-09,1.35939801e+09,5.75000000e-09,8.90385604e+07,5.75000000e-09,1.41709270e+07,5.75000000e-09,1.86307359e+01,0.840,0.500,sky130
6.00000000e-09,1.11783316e-07,6.00000000e-09,5.99923139e-09,6.00000000e-09,1.21067437e-15,6.00000000e-09,-6.84620016e-16,6.00000000e-09,1.46330010e-18,6.00000000e-09,3.18108364e-16,6.00000000e-09,4.76746292e-16,6.00000000e-09,-6.17240067e-19,6.00000000e-09,7.66657973e-10,6.00000000e-09,9.66964132e-01,6.00000000e-09,3.69021666e-02,6.00000000e-09,7.79950911e-01,6.00000000e-09,7.79950909e-01,6.00000000e-09,1.30436262e+09,6.00000000e-09,9.23314469e+07,6.00000000e-09,1.46950062e+07,6.00000000e-09,1.86329397e+01,0.840,0.500,sky130
6.25000000e-09,1.16460665e-07,6.25000000e-09,6.24922648e-09,6.25000000e-09,1.21812039e-15,6.25000000e-09,-6.94620579e-16,6.25000000e-09,1.48536676e-18,6.25000000e-09,3.22578041e-16,6.25000000e-09,4.83446537e-16,6.25000000e-09,-6.26485496e-19,6.25000000e-09,7.97670588e-10,6.25000000e-09,9.66957859e-01,6.25000000e-09,3.69650567e-02,6.25000000e-09,7.82126910e-01,6.25000000e-09,7.82126908e-01,6.25000000e-09,1.25365033e+09,6.25000000e-09,9.56068598e+07,6.25000000e-09,1.52163043e+07,6.25000000e-09,1.86360129e+01,0.840,0.500,sky130
6.50000000e-09,1.21144502e-07,6.50000000e-09,6.49922368e-09,6.50000000e-09,1.22534262e-15,6.50000000e-09,-7.04308304e-16,6.50000000e-09,1.50674728e-18,6.50000000e-09,3.26904931e-16,6.50000000e-09,4.89932754e-16,6.50000000e-09,-6.35436965e-19,6.50000000e-09,8.28659222e-10,6.50000000e-09,9.66951832e-01,6.50000000e-09,3.70277378e-02,6.50000000e-09,7.84217192e-01,6.50000000e-09,7.84217190e-01,6.50000000e-09,1.20676868e+09,6.50000000e-09,9.88658191e+07,6.50000000e-09,1.57349838e+07,6.50000000e-09,1.86398418e+01,0.840,0.500,sky130
6.75000000e-09,1.25834701e-07,6.75000000e-09,6.74922117e-09,6.75000000e-09,1.23235436e-15,6.75000000e-09,-7.13702495e-16,6.75000000e-09,1.52748376e-18,6.75000000e-09,3.31097956e-16,6.75000000e-09,4.96218318e-16,6.75000000e-09,-6.44112705e-19,6.75000000e-09,8.59624710e-10,6.75000000e-09,9.66946035e-01,6.75000000e-09,3.70902117e-02,6.75000000e-09,7.86228139e-01,6.75000000e-09,7.86228137e-01,6.75000000e-09,1.16329834e+09,6.75000000e-09,1.02109186e+08,6.75000000e-09,1.62511817e+07,6.75000000e-09,1.86443292e+01,0.840,0.500,sky130
7.00000000e-09,1.30531157e-07,7.00000000e-09,6.99921801e-09,7.00000000e-09,1.23916777e-15,7.00000000e-09,-7.22820685e-16,7.00000000e-09,1.54761447e-18,7.00000000e-09,3.35165216e-16,7.00000000e-09,5.02315366e-16,7.00000000e-09,-6.52529271e-19,7.00000000e-09,8.90567897e-10,7.00000000e-09,9.66940450e-01,7.00000000e-09,3.71524805e-02,7.00000000e-09,7.88165452e-01,7.00000000e-09,7.88165450e-01,7.00000000e-09,1.12287901e+09,7.00000000e-09,1.05337760e+08,7.00000000e-09,1.67650251e+07,7.00000000e-09,1.86493915e+01,0.840,0.500,sky130
7.25000000e-09,1.35233807e-07,7.25000000e-09,7.24921582e-09,7.25000000e-09,1.24579398e-15,7.25000000e-09,-7.31678918e-16,7.25000000e-09,1.56717442e-18,7.25000000e-09,3.39114111e-16,7.25000000e-09,5.08234993e-16,7.25000000e-09,-6.60701808e-19,7.25000000e-09,9.21489862e-10,7.25000000e-09,9.66935062e-01,7.25000000e-09,3.72145469e-02,7.25000000e-09,7.90034259e-01,7.25000000e-09,7.90034256e-01,7.25000000e-09,1.08519913e+09,7.25000000e-09,1.08552304e+08,7.25000000e-09,1.72766358e+07,7.25000000e-09,1.86549567e+01,0.840,0.500,sky130
7.50000000e-09,1.39942539e-07,7.50000000e-09,7.49921339e-09,7.50000000e-09,1.25224312e-15,7.50000000e-09,-7.40291740e-16,7.50000000e-09,1.58619540e-18,7.50000000e-09,3.42951349e-16,7.50000000e-09,5.13987250e-16,7.50000000e-09,-6.68644044e-19,7.50000000e-09,9.52391256e-10,7.50000000e-09,9.66929859e-01,7.50000000e-09,3.72764129e-02,7.50000000e-09,7.91839151e-01,7.50000000e-09,7.91839148e-01,7.50000000e-09,1.04998864e+09,7.50000000e-09,1.11753490e+08,7.50000000e-09,1.77861204e+07,7.50000000e-09,1.86609623e+01,0.840,0.500,sky130
7.75000000e-09,1.44657274e-07,7.75000000e-09,7.74921147e-09,7.75000000e-09,1.25852453e-15,7.75000000e-09,-7.48672534e-16,7.75000000e-09,1.60470664e-18,7.75000000e-09,3.46683093e-16,7.75000000e-09,5.19581379e-16,7.75000000e-09,-6.76368609e-19,7.75000000e-09,9.83272911e-10,7.75000000e-09,9.66924828e-01,7.75000000e-09,3.73380807e-02,7.75000000e-09,7.93584288e-01,7.75000000e-09,7.93584285e-01,7.75000000e-09,1.01701164e+09,7.75000000e-09,1.14941958e+08,7.75000000e-09,1.82935809e+07,7.75000000e-09,1.86673540e+01,0.840,0.500,sky130
8.00000000e-09,1.49377899e-07,8.00000000e-09,7.99920876e-09,8.00000000e-09,1.26464677e-15,8.00000000e-09,-7.56833519e-16,8.00000000e-09,1.62273484e-18,8.00000000e-09,3.50314971e-16,8.00000000e-09,5.25025811e-16,8.00000000e-09,-6.83887031e-19,8.00000000e-09,1.01413534e-09,8.00000000e-09,9.66919958e-01,8.00000000e-09,3.73995521e-02,8.00000000e-09,7.95273423e-01,8.00000000e-09,7.95273421e-01,8.00000000e-09,9.86061684e+08,8.00000000e-09,1.18118277e+08,8.00000000e-09,1.87991077e+07,8.00000000e-09,1.86740843e+01,0.840,0.500,sky130
8.25000000e-09,1.54104350e-07,8.25000000e-09,8.24920675e-09,8.25000000e-09,1.27061781e-15,8.25000000e-09,-7.64786030e-16,8.25000000e-09,1.64030480e-18,8.25000000e-09,3.53852194e-16,8.25000000e-09,5.30328361e-16,8.25000000e-09,-6.91210004e-19,8.25000000e-09,1.04497935e-09,8.25000000e-09,9.66915240e-01,8.25000000e-09,3.74608295e-02,8.25000000e-09,7.96909987e-01,8.25000000e-09,7.96909984e-01,8.25000000e-09,9.56956711e+08,8.25000000e-09,1.21283008e+08,8.25000000e-09,1.93027902e+07,8.25000000e-09,1.86811113e+01,0.840,0.500,sky130
8.50000000e-09,1.58836538e-07,8.50000000e-09,8.49920545e-09,8.50000000e-09,1.27644496e-15,8.50000000e-09,-7.72540481e-16,8.50000000e-09,1.65743930e-18,8.50000000e-09,3.57299551e-16,8.50000000e-09,5.35496203e-16,8.50000000e-09,-6.98347347e-19,8.50000000e-09,1.07580551e-09,8.50000000e-09,9.66910664e-01,8.50000000e-09,3.75219150e-02,8.50000000e-09,7.98497096e-01,8.50000000e-09,7.98497093e-01,8.50000000e-09,9.29536044e+08,8.50000000e-09,1.24436652e+08,8.50000000e-09,1.98047083e+07,8.50000000e-09,1.86883985e+01,0.840,0.500,sky130
8.75000000e-09,1.63574351e-07,8.75000000e-09,8.74920359e-09,8.75000000e-09,1.28213499e-15,8.75000000e-09,-7.80106466e-16,8.75000000e-09,1.67415932e-18,8.75000000e-09,3.60661447e-16,8.75000000e-09,5.40535944e-16,8.75000000e-09,-7.05308110e-19,8.75000000e-09,1.10661421e-09,8.75000000e-09,9.66906223e-01,8.75000000e-09,3.75828102e-02,8.75000000e-09,8.00037589e-01,8.75000000e-09,8.00037586e-01,8.75000000e-09,9.03657293e+08,8.75000000e-09,1.27579663e+08,8.75000000e-09,2.03049341e+07,8.75000000e-09,1.86959132e+01,0.840,0.500,sky130
9.00000000e-09,1.68317709e-07,9.00000000e-09,8.99920163e-09,9.00000000e-09,1.28769423e-15,9.00000000e-09,-7.87492929e-16,9.00000000e-09,1.69048443e-18,9.00000000e-09,3.63941988e-16,9.00000000e-09,5.45453736e-16,9.00000000e-09,-7.12100721e-19,9.00000000e-09,1.13740598e-09,9.00000000e-09,9.66901909e-01,9.00000000e-09,3.76435171e-02,9.00000000e-09,8.01534079e-01,9.00000000e-09,8.01534076e-01,9.00000000e-09,8.79193547e+08,9.00000000e-09,1.30712483e+08,9.00000000e-09,2.08035377e+07,9.00000000e-09,1.87036269e+01,0.840,0.500,sky130
9.25000000e-09,1.73066531e-07,9.25000000e-09,9.24919981e-09,9.25000000e-09,1.29312854e-15,9.25000000e-09,-7.94708169e-16,9.25000000e-09,1.70643282e-18,9.25000000e-09,3.67144983e-16,9.25000000e-09,5.50255286e-16,9.25000000e-09,-7.18733006e-19,9.25000000e-09,1.16818132e-09,9.25000000e-09,9.66897715e-01,9.25000000e-09,3.77040376e-02,9.25000000e-09,8.02988966e-01,9.25000000e-09,8.02988963e-01,9.25000000e-09,8.56031490e+08,9.25000000e-09,1.33835520e+08,9.25000000e-09,2.13005846e+07,9.25000000e-09,1.87115139e+01,0.840,0.500,sky130
9.50000000e-09,1.77820720e-07,9.50000000e-09,9.49919768e-09,9.50000000e-09,1.29844339e-15,9.50000000e-09,-8.01759891e-16,9.50000000e-09,1.72202135e-18,9.50000000e-09,3.70273962e-16,9.50000000e-09,5.54945890e-16,9.50000000e-09,-7.25212224e-19,9.50000000e-09,1.19894060e-09,9.50000000e-09,9.66893634e-01,9.50000000e-09,3.77643736e-02,9.50000000e-09,8.04404455e-01,9.50000000e-09,8.04404452e-01,9.50000000e-09,8.34069678e+08,9.50000000e-09,1.36949151e+08,9.50000000e-09,2.17961343e+07,9.50000000e-09,1.87195515e+01,0.840,0.500,sky130
9.75000000e-09,1.82580218e-07,9.75000000e-09,9.74919659e-09,9.75000000e-09,1.30364393e-15,9.75000000e-09,-8.08655329e-16,9.75000000e-09,1.73726587e-18,9.75000000e-09,3.73332239e-16,9.75000000e-09,5.59530512e-16,9.75000000e-09,-7.31545191e-19,9.75000000e-09,1.22968437e-09,9.75000000e-09,9.66889661e-01,9.75000000e-09,3.78245270e-02,9.75000000e-09,8.05782590e-01,9.75000000e-09,8.05782587e-01,9.75000000e-09,8.13216808e+08,9.75000000e-09,1.40053747e+08,9.75000000e-09,2.22902462e+07,9.75000000e-09,1.87277194e+01,0.840,0.500,sky130
1.00000000e-08,1.87344861e-07,1.00000000e-08,9.99919234e-09,1.00000000e-08,1.30873486e-15,1.00000000e-08,-8.15401090e-16,1.00000000e-08,1.75218085e-18,1.00000000e-08,3.76322841e-16,1.00000000e-08,5.64013691e-16,1.00000000e-08,-7.37738132e-19,1.00000000e-08,1.26041249e-09,1.00000000e-08,9.66885790e-01,1.00000000e-08,3.78844987e-02,1.00000000e-08,8.07125232e-01,1.00000000e-08,8.07125229e-01,1.00000000e-08,7.93391056e+08,1.00000000e-08,1.43149592e+08,1.00000000e-08,2.27829652e+07,1.00000000e-08,1.87359993e+01,0.840,0.500,sky130
1.25000000e-08,2.35352563e-07,1.25000000e-08,1.25039623e-08,1.25000000e-08,1.35456506e-15,1.25000000e-08,-8.75947434e-16,1.25000000e-08,1.88610522e-18,1.25000000e-08,4.03108854e-16,1.25000000e-08,6.04168620e-16,1.25000000e-08,-7.93206791e-19,1.25000000e-08,1.56750893e-09,1.25000000e-08,9.66851697e-01,1.25000000e-08,3.84757477e-02,1.25000000e-08,8.18951019e-01,1.25000000e-08,8.18951015e-01,1.25000000e-08,6.37954898e+08,1.25000000e-08,1.73747699e+08,1.25000000e-08,2.76528052e+07,1.25000000e-08,1.88222386e+01,0.840,0.500,sky130
1.50000000e-08,2.83881739e-07,1.50000000e-08,1.50130400e-08,1.50000000e-08,1.39309518e-15,1.50000000e-08,-9.26620689e-16,1.50000000e-08,1.99825622e-18,1.50000000e-08,4.25451598e-16,1.50000000e-08,6.37663052e-16,1.50000000e-08,-8.39464096e-19,1.50000000e-08,1.87387121e-09,1.50000000e-08,9.66823934e-01,1.50000000e-08,3.90515386e-02,1.50000000e-08,8.28581243e-01,1.50000000e-08,8.28581238e-01,1.50000000e-08,5.33654604e+08,1.50000000e-08,2.03777706e+08,1.50000000e-08,3.24322292e+07,1.50000000e-08,1.89090110e+01,0.840,0.500,sky130
1.75000000e-08,3.32496776e-07,1.75000000e-08,1.75074748e-08,1.75000000e-08,1.42606816e-15,1.75000000e-08,-9.69838540e-16,1.75000000e-08,2.09394332e-18,1.75000000e-08,4.44454634e-16,1.75000000e-08,6.66151154e-16,1.75000000e-08,-8.78790096e-19,1.75000000e-08,2.17733493e-09,1.75000000e-08,9.66800702e-01,1.75000000e-08,3.96089599e-02,1.75000000e-08,8.36639690e-01,1.75000000e-08,8.36639684e-01,1.75000000e-08,4.59277067e+08,1.75000000e-08,2.33156300e+08,1.75000000e-08,3.71079776e+07,1.75000000e-08,1.89917038e+01,0.840,0.500,sky130
2.00000000e-08,3.81460361e-07,2.00000000e-08,2.00038185e-08,2.00000000e-08,1.45501066e-15,2.00000000e-08,-1.00767241e-15,2.00000000e-08,2.17773103e-18,2.00000000e-08,4.61051621e-16,2.00000000e-08,6.91032479e-16,2.00000000e-08,-9.13117979e-19,2.00000000e-08,2.48000663e-09,2.00000000e-08,9.66780640e-01,2.00000000e-08,4.01529738e-02,2.00000000e-08,8.43598724e-01,2.00000000e-08,8.43598717e-01,2.00000000e-08,4.03224728e+08,2.00000000e-08,2.62170149e+08,2.00000000e-08,4.17256752e+07,2.00000000e-08,1.90693772e+01,0.840,0.500,sky130
2.25000000e-08,4.30726694e-07,2.25000000e-08,2.25022158e-08,2.25000000e-08,1.48077655e-15,2.25000000e-08,-1.04128042e-15,2.25000000e-08,2.25217217e-18,2.25000000e-08,4.75765075e-16,2.25000000e-08,7.13090278e-16,2.25000000e-08,-9.43531169e-19,2.25000000e-08,2.78195476e-09,2.25000000e-08,9.66762995e-01,2.25000000e-08,4.06845813e-02,2.25000000e-08,8.49719199e-01,2.25000000e-08,8.49719192e-01,2.25000000e-08,3.59459476e+08,2.25000000e-08,2.90878927e+08,2.25000000e-08,4.62948190e+07,2.25000000e-08,1.91415236e+01,0.840,0.500,sky130
2.50000000e-08,4.80226045e-07,2.50000000e-08,2.50012868e-08,2.50000000e-08,1.50396130e-15,2.50000000e-08,-1.07146657e-15,2.50000000e-08,2.31904051e-18,2.50000000e-08,4.88956949e-16,2.50000000e-08,7.32867121e-16,2.50000000e-08,-9.70781037e-19,2.50000000e-08,3.08304643e-09,2.50000000e-08,9.66747262e-01,2.50000000e-08,4.12043523e-02,2.50000000e-08,8.55176389e-01,2.50000000e-08,8.55176380e-01,2.50000000e-08,3.24354506e+08,2.50000000e-08,3.19307449e+08,2.50000000e-08,5.08193588e+07,2.50000000e-08,1.92080531e+01,0.840,0.500,sky130
